id,city,country,country_code,region,cen_lat,cen_lon,freshwater,coastal,forest,grasslands,mountains,peatlands,deserts,farmlands,income_group,pop_size_class,built_form_type
1,"Honolulu","United States","USA","Northern America",21.34068,-157.8935,0,1,1,0,0,0,0,0,"HIC","4. Between 500,000 and 1 million","Compact"
2,"Papeete","French Polynesia","PYF","Oceania",-17.5341,-149.5681,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Compact"
3,"Santa Maria","United States","USA","Northern America",34.92312,-120.4344,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
4,"Monterey","United States","USA","Northern America",36.60772,-121.8824,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
5,"Santa Barbara","United States","USA","Northern America",34.42766,-119.7437,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
6,"Santa Cruz","United States","USA","Northern America",36.97128,-121.9787,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
7,"Salinas","United States","USA","Northern America",36.68899,-121.6408,1,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
8,"Oxnard","United States","USA","Northern America",34.21749,-119.2091,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
9,"Watsonville","United States","USA","Northern America",36.91959,-121.7647,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
10,"San Jose","United States","USA","Northern America",37.32711,-121.9333,0,0,1,0,0,0,0,0,"HIC","3. Between 1 and 5 million","Compact"
11,"Camarillo","United States","USA","Northern America",34.22939,-119.0329,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
12,"Thousand Oaks","United States","USA","Northern America",34.18196,-118.8641,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
13,"San Rafael","United States","USA","Northern America",37.96859,-122.5274,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
14,"Los Angeles","United States","USA","Northern America",33.95381,-117.9539,0,1,1,0,0,0,0,0,"HIC","1. More than 10 million","Compact"
15,"Petaluma","United States","USA","Northern America",38.24622,-122.6324,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
16,"Simi Valley","United States","USA","Northern America",34.27228,-118.7401,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
17,"Santa Rosa","United States","USA","Northern America",38.44448,-122.7137,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
18,"Concord","United States","USA","Northern America",37.91394,-122.0483,0,0,1,0,0,0,0,0,"HIC","4. Between 500,000 and 1 million","Compact"
19,"Rosarito","Mexico","MEX","Latin America and the Caribbean",32.37753,-117.0592,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
20,"Ensenada","Mexico","MEX","Latin America and the Caribbean",31.8535,-116.6005,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
21,"Tijuana","United States","USA","Northern America",32.82158,-117.1107,0,1,1,0,0,0,0,0,"HIC","3. Between 1 and 5 million","Compact"
