id,city,country,income_group,cen_lat,cen_lon,ave_pop_growth,ave_built_up_pc_growth,ave_temp_change,ave_built_quality_1_change,ave_built_quality_2_change,n_ave_pop_growth,n_ave_built_up_pc_growth,n_ave_built_quality_1_change,n_ave_built_quality_2_change,n_ave_temp_change,imp_pop_1,imp_pop_2
1,"Honolulu","United States","4. HIC",21.34068,-157.8935,1.012227,.9888142,.0705905,1.129001,1.000006,-.1087307,-.9300818,2.653182,1.237832,-.9906647,.0714536,36202.6
2,"Papeete","French Polynesia","1. LIC",-17.5341,-149.5681,1.00972,.9916008,.1144991,,,-.290265,-.784205,,,-.8621298,.115612,10479.09
3,"Santa Maria","United States","4. HIC",34.92312,-120.4344,1.010108,.9947953,.8757074,1.041899,.9951727,-.2621454,-.6169797,.7100781,.9009991,1.366177,.8845592,107870.8
4,"Monterey","United States","4. HIC",36.60772,-121.8824,1.006576,.9963678,1.260421,1.055549,.9970886,-.5178712,-.5346587,1.014599,1.03452,2.49236,1.268709,85421.6
5,"Santa Barbara","United States","4. HIC",34.42766,-119.7437,1.009997,.9956006,.8318603,,.9949344,-.2701808,-.5748223,,.8843915,1.237822,.8401765,95458.59
6,"Santa Cruz","United States","4. HIC",36.97128,-121.9787,1.006769,.9954068,1.260421,1.032354,.9978597,-.5038891,-.5849661,.4971511,1.08826,2.49236,1.268953,127930.4
7,"Salinas","United States","4. HIC",36.68899,-121.6408,1.006557,.9989796,1.260421,1.028876,.9945002,-.5192263,-.3979336,.4195696,.8541299,2.49236,1.268686,188791.3
8,"Oxnard","United States","4. HIC",34.21749,-119.2091,1.010159,.9943114,.8208497,1.040259,.995607,-.2584773,-.6423096,.6734933,.9312691,1.20559,.8291885,244454.3
9,"Watsonville","United States","4. HIC",36.91959,-121.7647,1.006832,.9982907,1.260421,1.000374,.9949151,-.4993492,-.4339972,-.2162753,.8830456,2.49236,1.269032,69315.16
10,"San Jose","United States","4. HIC",37.32711,-121.9333,1.008029,.9941927,1.167556,1.028529,.9979646,-.412712,-.648522,.4118096,1.095575,2.220515,1.17693,5376552
11,"Camarillo","United States","4. HIC",34.22939,-119.0329,1.010081,.9981273,.8208497,,.9918775,-.2641392,-.4425528,,.671351,1.20559,.8291243,54076.7
12,"Thousand Oaks","United States","4. HIC",34.18196,-118.8641,1.009625,.996607,.7380924,,.9938384,-.2970921,-.5221373,,.8080083,.9633329,.7451969,108024.5
13,"San Rafael","United States","4. HIC",37.96859,-122.5274,1.00778,.999063,1.141084,1.003566,.9932302,-.4307334,-.3935684,-.145071,.7656253,2.143022,1.149961,120618.9
14,"Los Angeles","United States","4. HIC",33.95381,-117.9539,1.008961,.9970584,.7452712,1.00596,.9940836,-.3452267,-.4985078,-.091663,.8251019,.9843475,.7519493,1.06e+07
15,"Petaluma","United States","4. HIC",38.24622,-122.6324,1.005923,.9995832,1.017905,.9828251,.9945264,-.5651515,-.3663382,-.6077583,.8559576,1.782436,1.023934,56778.22
16,"Simi Valley","United States","4. HIC",34.27228,-118.7401,1.010025,.995428,.7380924,,.9946221,-.2681784,-.5838584,,.8626289,.9633329,.7454916,80879.77
17,"Santa Rosa","United States","4. HIC",38.44448,-122.7137,1.006059,1.000841,1.017905,1.004282,.993143,-.5553208,-.300517,-.1290909,.7595481,1.782436,1.024072,168183.6
18,"Concord","United States","4. HIC",37.91394,-122.0483,1.008144,.9980463,1.167556,1.01389,.9938633,-.4043314,-.4467932,.0852376,.8097488,2.220515,1.177065,772401
19,"Rosarito","Mexico","3. UMIC",32.37753,-117.0592,1.042781,.9624432,.9433322,,.9963955,2.10342,-2.310569,,.986222,1.564137,.9836889,79375.38
20,"Ensenada","Mexico","3. UMIC",31.8535,-116.6005,1.02455,.9795641,1.003326,,.9967784,.783483,-1.41431,,1.012903,1.73976,1.027958,323401.4
21,"Tijuana","United States","4. HIC",32.82158,-117.1107,1.013811,.9961036,.8520637,,.9902728,.0059658,-.5484907,,.5595177,1.296964,.8638317,3780806
22,"Livermore","United States","4. HIC",37.68841,-121.754,1.007064,1.006743,1.178789,.9807568,.9863347,-.4825189,.0084477,-.6538996,.2850607,2.253398,1.187117,86059.49
